Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,E[M],sigmaM,DN,Source
1897,3,23,0,0,0.0,45.5,-73.6,4.59,0.48,227,EPRI
1897,5,10,0,0,0.0,-37.33,139.75,6.16,0.32,23,EPRI
1897,5,31,0,0,0.0,37.3,-80.7,5.91,0.32,224,EPRI
1897,6,22,0,0,0.0,19.4,84.9,5.12,0.5,108,EPRI
1897,8,25,0,0,0.0,62.5,55.0,4.86,0.44,168,EPRI
1900,2,8,0,0,0.0,10.75,76.75,5.66,0.32,106,EPRI
1901,1,10,0,0,0.0,50.5,16.1,4.67,0.32,192,EPRI
1902,4,10,0,0,0.0,64.3,27.6,4.81,0.44,173,EPRI
1902,9,19,0,0,0.0,-35.0,137.4,5.38,0.32,19,EPRI
1902,11,4,0,0,0.0,38.9,-5.6,5.43,0.44,200,EPRI
1903,1,14,0,0,0.0,24.0,70.0,5.53,0.5,114,EPRI
1903,4,6,0,0,0.0,-38.43,142.53,4.5,0.37,23,EPRI
1903,6,4,0,0,0.0,0.0,26.0,6.3,0.37,78,EPRI
1903,6,19,0,0,0.0,53.05,-4.38,4.58,0.32,185,EPRI
1903,7,14,0,0,0.0,-38.43,142.53,4.58,0.32,23,EPRI
1903,8,9,0,0,0.0,38.3,-9.0,6.0,0.32,199,EPRI
1903,11,4,0,0,0.0,36.9,-89.3,4.97,0.32,228,EPRI
1904,2,13,0,0,0.0,56.4,73.0,5.26,0.44,158,EPRI
1904,3,21,0,0,0.0,45.0,-67.2,5.73,0.32,222,EPRI
1904,4,9,0,0,0.0,-37.0,147.1,4.5,0.44,27,EPRI
1904,10,23,0,0,0.0,59.0,10.5,5.87,0.37,177,EPRI
1905,7,18,0,0,0.0,-10.2,-40.4,4.67,0.32,47,EPRI
1905,8,22,0,0,0.0,36.8,-89.6,4.95,0.32,228,EPRI
1906,1,8,0,0,0.0,39.2,-96.5,4.91,0.32,235,EPRI
1906,3,27,0,0,0.0,24.5,118.5,6.04,0.37,125,EPRI
1906,6,27,0,0,0.0,52.64,-4.0,4.87,0.32,185,EPRI
1906,11,19,0,0,0.0,-19.1,111.8,7.2,0.19,2,EPRI
1906,11,20,0,0,0.0,6.5,0.3,5.09,0.32,92,EPRI
1907,1,14,0,0,0.0,65.5,11.0,5.32,0.37,183,EPRI
1908,0,0,0,0,0.0,7.7,-7.8,5.8,0.32,100,EPRI
1908,4,2,0,0,0.0,3.0,25.5,6.3,0.37,73,EPRI
1909,4,23,0,0,0.0,38.95,-8.82,6.4,0.37,199,EPRI
1909,5,16,0,0,0.0,50.0,-104.0,5.72,0.32,237,EPRI
1909,5,26,0,0,0.0,41.75,-88.3,5.15,0.48,230,EPRI
1909,8,5,0,0,0.0,-22.2,29.0,5.01,0.32,66,EPRI
1909,9,27,0,0,0.0,39.5,-87.4,4.73,0.32,230,EPRI
1909,10,20,23,41,22.0,28.074,69.333,6.95,0.22,113,ISC
1910,1,8,0,0,0.0,35.0,122.0,6.5,0.19,132,EPRI
1910,5,30,0,0,0.0,10.0,27.0,5.8,0.37,84,EPRI
1910,10,21,0,0,0.0,-30.5,24.7,5.26,0.32,63,EPRI
1910,12,4,0,0,0.0,-10.0,140.0,6.8,0.25,13,EPRI
1911,3,26,0,0,0.0,3.1,11.0,5.79,0.37,73,EPRI
1911,4,28,9,52,54.0,0.0,-71.0,7.05,0.22,51,ISC
1911,8,6,0,0,0.0,53.5,127.1,4.92,0.44,136,EPRI
1911,11,16,0,0,0.0,48.22,9.05,6.17,0.25,192,EPRI
1912,2,20,0,0,0.0,-29.45,25.06,6.04,0.25,63,EPRI
1912,4,13,0,0,0.0,78.9,108.0,5.12,0.37,170,EPRI
1912,6,12,0,0,0.0,32.9,-80.0,4.5,0.48,218,EPRI
1912,11,6,0,0,0.0,42.9,-2.7,5.25,0.5,198,EPRI
1913,1,1,0,0,0.0,34.7,-81.7,4.54,0.32,218,EPRI
1913,4,3,0,0,0.0,32.2,119.5,5.22,0.37,132,EPRI
